,ad,f_assured,seller,name,price,slashed_price,discount_perc,link
20,0,1,SCATCHITE,Sneakers For Men,358,999,64,https://www.flipkart.com/scatchite-sneakers-men/p/itmc13680b1d9604?pid=SHOFUDSUGDXTYAZE&lid=LSTSHOFUDSUGDXTYAZESOFI40&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_21&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOFUDSUGDXTYAZE.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
21,0,1,CAMPUS,MAGNITE Running Shoes For Men,809,1299,37,https://www.flipkart.com/campus-magnite-running-shoes-men/p/itmc7a5a66116964?pid=SHOG6BNZF8AFHVHH&lid=LSTSHOG6BNZF8AFHVHH2XHX4N&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_22&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG6BNZF8AFHVHH.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
22,0,1,ASIAN,Casuals For Men,1198,1999,40,https://www.flipkart.com/asian-casuals-men/p/itmbaefe8cb847bd?pid=SHOG5WA9ZZMWUPUW&lid=LSTSHOG5WA9ZZMWUPUWKUPUML&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_23&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG5WA9ZZMWUPUW.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
23,0,1,PORT,Casuals For Men,299,999,70,https://www.flipkart.com/port-casuals-men/p/itm13060ed10fcbe?pid=SHOFP98ZT5W3YGEX&lid=LSTSHOFP98ZT5W3YGEXQWBALV&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_24&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOFP98ZT5W3YGEX.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
24,0,1,Knoos,Brown Synthetic Leather Casual Loafer Loafers For Men,549,999,45,https://www.flipkart.com/knoos-brown-synthetic-leather-casual-loafer-loafers-men/p/itmf9j4w59hdhz2v?pid=SHOF9HQ8QQMNYZRC&lid=LSTSHOF9HQ8QQMNYZRCGSUXRD&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_25&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOF9HQ8QQMNYZRC.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
25,0,1,HOTSTYLE,Designer Loafers For Men,272,499,45,https://www.flipkart.com/hotstyle-designer-loafers-men/p/itmf7nkvjavehyfb?pid=SHOF7N23TA3HPER9&lid=LSTSHOF7N23TA3HPER9L3VBZM&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_26&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOF7N23TA3HPER9.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
26,0,1,aadi,Casual Boot Boots For Men,599,1999,70,https://www.flipkart.com/aadi-casual-boot-boots-men/p/itm282342f046155?pid=SHOEZ9MJPQMHUHYG&lid=LSTSHOEZ9MJPQMHUHYGCTVT7L&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_27&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOEZ9MJPQMHUHYG.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
27,0,1,Layasa,Women's Mesh Sports Shoes Walking Running Shoes For Wom...,599,999,40,https://www.flipkart.com/layasa-women-s-mesh-sports-shoes-walking-running-women/p/itm48208ccb326fa?pid=SHOG62SYHHA2QS5D&lid=LSTSHOG62SYHHA2QS5DSBXW4C&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_28&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG62SYHHA2QS5D.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
28,0,1,ASIAN,Hattrick-21 Running Shoes For Men,698,1249,44,https://www.flipkart.com/asian-hattrick-21-running-shoes-men/p/itmec6862f7f218b?pid=SHOG8KSUFFMTMUMN&lid=LSTSHOG8KSUFFMTMUMNEDDXXK&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_29&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG8KSUFFMTMUMN.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
29,0,1,ASIAN,Oxygen-01 navy Running shoes dual capsule technology fo...,1098,1999,45,https://www.flipkart.com/asian-oxygen-01-navy-running-shoes-dual-capsule-technology-boys-sports-men-latest-stylish-casual-sneakers-lace-up-lightweight-running-walking-gym-trekking-hiking-party/p/itmc42f82c7c906a?pid=SHOG5ZPZ8GCTM8HZ&lid=LSTSHOG5ZPZ8GCTM8HZ74PULK&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_30&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG5ZPZ8GCTM8HZ.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
